"id","title","release_year","country","duration","language","certification","gross","budget"
961,"How to Be a Player",1997,"USA",93,"English","R",13960203,
962,"Hurricane Streets",1997,"USA",86,"English","R",334041,500000
963,"I Know What You Did Last Summer",1997,"USA",99,"English","R",72219395,17000000
964,"I Love You, Don't Touch Me!",1997,"USA",86,"English","R",33598,
965,"I Married a Strange Person!",1997,"USA",75,"English","R",203134,250000
966,"In & Out",1997,"USA",90,"English","PG-13",63826569,35000000
967,"In the Company of Men",1997,"Canada",97,"English","R",2856622,25000
968,"Jackie Brown",1997,"USA",154,"English","R",39647595,12000000
969,"Kiss the Girls",1997,"USA",115,"English","R",60491560,27000000
970,"Kundun",1997,"USA",134,"English","PG-13",5532301,28000000
971,"L.A. Confidential",1997,"USA",138,"English","R",64604977,35000000
972,"Liar Liar",1997,"USA",86,"English","PG-13",181395380,45000000
973,"Love and Death on Long Island",1997,"UK",93,"English","PG-13",2542264,
974,"Love Jones",1997,"USA",104,"English","R",12514138,10000000
975,"Mad City",1997,"USA",115,"English","PG-13",10556196,50000000
976,"Men in Black",1997,"USA",98,"English","PG-13",250147615,90000000
977,"Midnight in the Garden of Good and Evil",1997,"USA",155,"English","R",25078937,30000000
978,"Money Talks",1997,"USA",97,"English","R",41067398,25000000
979,"Mortal Kombat: Annihilation",1997,"USA",95,"English","PG-13",35927406,30000000
980,"Mr. Nice Guy",1997,"Hong Kong",86,"English","PG-13",12674183,
981,"My Best Friend's Wedding",1997,"USA",105,"English","PG-13",126805112,46000000
982,"Nothing to Lose",1997,"USA",98,"English","R",44455658,25000000
983,"Orgazmo",1997,"USA",92,"English","NC-17",582024,1000000
984,"Oscar and Lucinda",1997,"USA",132,"English","R",1508689,16000000
985,"Prefontaine",1997,"USA",106,"English","PG-13",532190,8000000
986,"Princess Mononoke",1997,"Japan",134,"Japanese","PG-13",2298191,2400000000
987,"Scream 2",1997,"USA",120,"English","R",101334374,24000000
988,"Selena",1997,"USA",127,"English","PG",35422828,20000000
989,"Seven Years in Tibet",1997,"USA",136,"English","PG-13",37901509,70000000
990,"Shadow Conspiracy",1997,"USA",103,"English","R",2154540,45000000
991,"Shooting Fish",1997,"UK",99,"English","PG",302204,3000000
992,"Smilla's Sense of Snow",1997,"Denmark",121,"English","R",2221994,35000000
993,"Snow White: A Tale of Terror",1997,"USA",100,"English","R",,26000000
994,"Soul Food",1997,"USA",115,"English","R",43490057,7500000
995,"Sparkler",1997,"USA",90,"English","R",5494,
996,"Spawn",1997,"USA",98,"English","R",54967359,40000000
997,"Speed 2: Cruise Control",1997,"USA",121,"English","PG-13",48068396,160000000
998,"Spice World",1997,"UK",93,"English","PG",29247405,25000000
999,"Starship Troopers",1997,"USA",129,"English","R",54700065,105000000
1000,"Steel",1997,"USA",97,"English","PG-13",1686429,16000000
1001,"Switchback",1997,"USA",118,"English","R",6482195,37000000
1002,"The Apostle",1997,"USA",134,"English","PG-13",20733485,5000000
1003,"The Borrowers",1997,"UK",89,"English","PG",22359293,29000000
1004,"The Chambermaid on the Titanic",1997,"France",101,"French",,244465,
1005,"The Cure",1997,"Japan",111,"Japanese",,94596,1000000
1006,"The Devil's Advocate",1997,"USA",136,"English","R",60984028,57000000
1007,"The Devil's Own",1997,"USA",111,"English","R",42877165,86000000
1008,"The Edge",1997,"USA",117,"English","R",27779888,
1009,"The Fifth Element",1997,"France",126,"English","PG-13",63540020,93000000
1010,"The Full Monty",1997,"UK",91,"English","R",45857453,3500000
1011,"The Full Monty",1997,"UK",91,"English","R",45857453,3500000
1012,"The Game",1997,"USA",129,"English","R",48265581,50000000
1013,"The Ice Storm",1997,"USA",112,"English","R",7837632,18000000
1014,"The Jackal",1997,"USA",124,"English","R",54910560,60000000
1015,"The Last Time I Committed Suicide",1997,"USA",92,"English","R",12836,4000000
1016,"The Lost World: Jurassic Park",1997,"USA",129,"English","PG-13",229074524,73000000
1017,"The Man Who Knew Too Little",1997,"USA",94,"English","PG",13801755,20000000
1018,"The Peacemaker",1997,"USA",124,"English","R",41256277,50000000
1019,"The Postman",1997,"USA",177,"English","R",17593391,80000000
1020,"The Rainmaker",1997,"USA",135,"English","PG-13",45856732,40000000
1021,"The Relic",1997,"UK",110,"English","R",33927476,40000000
1022,"The Saint",1997,"USA",116,"English","PG-13",61355436,68000000
1023,"The Spanish Prisoner",1997,"USA",110,"English","PG",10200000,10000000
1024,"The Sticky Fingers of Time",1997,"USA",81,"English",,18195,250000
1025,"The Sweet Hereafter",1997,"Canada",112,"English","R",4306697,5000000
1026,"The Swindle",1997,"France",101,"French",,231417,60000000
1027,"Titanic",1997,"USA",194,"English","PG-13",658672302,200000000
1028,"Tomorrow Never Dies",1997,"UK",119,"English","PG-13",125332007,110000000
1029,"Trekkies",1997,"USA",86,"English","PG",617172,375000
1030,"Turbulence",1997,"USA",100,"English","R",11466088,71000000
1031,"Two Girls and a Guy",1997,"USA",84,"English","R",1950218,1000000
1032,"Ulee's Gold",1997,"USA",113,"English","R",9054736,2700000
1033,"Volcano",1997,"USA",104,"English","PG-13",47474112,90000000
1034,"Wag the Dog",1997,"USA",97,"English","R",43022524,15000000
1035,"Warriors of Virtue",1997,"USA",101,"English","PG",6448817,35000000
1036,"20 Dates",1998,"USA",87,"English","R",536767,60000
1037,"54",1998,"USA",121,"English","R",16574731,13000000
1038,"A Bug's Life",1998,"USA",95,"English","G",162792677,120000000
1039,"A Civil Action",1998,"USA",115,"English","PG-13",56702901,60000000
1040,"A Night at the Roxbury",1998,"USA",82,"English","PG-13",30324946,17000000
1041,"A Simple Plan",1998,"UK",121,"English","R",16311763,17000000
1042,"American History X",1998,"USA",101,"English","R",6712241,7500000
1043,"Among Giants",1998,"UK",93,"English","R",64359,2500000
1044,"Antz",1998,"USA",83,"English","PG",90646554,105000000
1045,"Armageddon",1998,"USA",153,"English","PG-13",201573391,140000000
1046,"Babe: Pig in the City",1998,"Australia",97,"English","G",18318000,80000000
1047,"Barney's Great Adventure",1998,"Canada",76,"English","G",11144518,15000000
1048,"Beloved",1998,"USA",172,"English","R",22843047,55000000
1049,"Blade",1998,"USA",110,"English","R",70001065,45000000
1050,"Bride of Chucky",1998,"Canada",89,"English","R",32368960,25000000
1051,"Broken Vessels",1998,"USA",90,"English","R",13493,600000
1052,"Buffalo '66",1998,"USA",110,"English","R",2365931,1500000
1053,"Bulworth",1998,"USA",108,"English","R",26525834,30000000
1054,"Can't Hardly Wait",1998,"USA",100,"English","PG-13",25339117,10000000
1055,"Celebrity",1998,"USA",113,"English","R",5032496,12000000
1056,"Central Station",1998,"Brazil",113,"Portuguese","R",5595428,2900000
1057,"Chairman of the Board",1998,"USA",95,"English","PG-13",306715,10000000
1058,"City of Angels",1998,"Germany",114,"English","PG-13",78745923,55000000
1059,"Clay Pigeons",1998,"Germany",104,"English","R",1789892,8000000
1060,"Dancer, Texas Pop. 81",1998,"USA",97,"English","PG",565592,
1061,"Dark City",1998,"Australia",111,"English","R",14337579,27000000
1062,"Dead Man on Campus",1998,"USA",96,"English","R",15062898,14000000
1063,"Deep Impact",1998,"USA",120,"English","PG-13",140459099,75000000
1064,"Deep Rising",1998,"USA",106,"English","R",11146409,45000000
1065,"Desert Blue",1998,"USA",90,"English","R",99147,2000000
1066,"Dirty Work",1998,"Canada",82,"English","PG-13",9975684,13000000
1067,"Disturbing Behavior",1998,"Australia",84,"English","R",17411331,15000000
1068,"Doctor Dolittle",1998,"USA",85,"English","PG-13",144156464,71500000
1069,"Earth",1998,"India",110,"Hindi","Unrated",528972,
1070,"Elizabeth",1998,"UK",124,"English","R",30012990,25000000
1071,"Enemy of the State",1998,"USA",140,"English","R",111544445,90000000
1072,"Ever After: A Cinderella Story",1998,"USA",121,"English","PG-13",65703412,26000000
1073,"Fear and Loathing in Las Vegas",1998,"USA",118,"English","R",10562387,18500000
1074,"Gods and Monsters",1998,"USA",105,"English","R",6390032,3500000
1075,"Half Baked",1998,"USA",82,"English","R",17278980,8000000
1076,"Happiness",1998,"USA",134,"English",,3000000,3000000
1077,"Hard Rain",1998,"USA",97,"English","R",19819494,70000000
1078,"He Got Game",1998,"USA",136,"English","R",21554585,25000000
1079,"Holy Man",1998,"USA",114,"English","PG",12065985,60000000
1080,"Home Fries",1998,"USA",91,"English","PG-13",10443316,15000000
1081,"Hope Floats",1998,"USA",114,"English","PG-13",60033780,30000000
1082,"How Stella Got Her Groove Back",1998,"USA",124,"English","R",37672350,20000000
1083,"I Got the Hook Up",1998,"USA",93,"English","R",10305534,3500000
1084,"I Still Know What You Did Last Summer",1998,"USA",100,"English","R",39989008,24000000
1085,"Illuminata",1998,"Spain",119,"English","R",836641,
1086,"Knock Off",1998,"Aruba",91,"English","R",10076136,35000000
1087,"La otra conquista",1998,"Mexico",106,"Spanish","R",886410,3500000
1088,"Les couloirs du temps: Les visiteurs II",1998,"France",118,"French",,146072,140000000
1089,"Lethal Weapon 4",1998,"USA",127,"English","R",129734803,140000000
1090,"Little Voice",1998,"UK",97,"English","R",4595000,
1091,"Living Out Loud",1998,"USA",100,"English","R",12902790,12000000
1092,"Lock, Stock and Two Smoking Barrels",1998,"UK",120,"English","R",3650677,960000
1093,"Lost in Space",1998,"USA",130,"English","PG-13",69102910,80000000
1094,"Meet Joe Black",1998,"USA",178,"English","PG-13",44606335,90000000
1095,"Meet the Deedles",1998,"USA",93,"English","PG",4308981,24000000
1096,"Mercury Rising",1998,"USA",111,"English","R",32940507,60000000
1097,"Mercury Rising",1998,"USA",111,"English","R",32940507,60000000
1098,"Mighty Joe Young",1998,"USA",114,"English","PG",50628009,90000000
1099,"Mulan",1998,"USA",88,"English","G",120618403,90000000
1100,"Naturally Native",1998,"USA",107,"English","PG-13",10508,700000
1101,"Next Stop Wonderland",1998,"USA",104,"English","R",3386698,1000000
1102,"One True Thing",1998,"USA",127,"English","R",23209440,30000000
1103,"Out of Sight",1998,"USA",123,"English","R",37339525,48000000
1104,"Patch Adams",1998,"USA",115,"English","PG-13",135014968,50000000
1105,"Pi",1998,"USA",84,"English","R",3216970,60000
1106,"Practical Magic",1998,"USA",104,"English","PG-13",46611204,48000000
1107,"Primary Colors",1998,"France",143,"English","R",38966057,65000000
1108,"Ronin",1998,"UK",122,"English","R",41609593,55000000
1109,"Rounders",1998,"USA",121,"English","R",22905674,12000000
1110,"Run Lola Run",1998,"Germany",81,"German","R",7267324,3500000
1111,"Rushmore",1998,"USA",93,"English","R",17096053,9000000
1112,"Safe Men",1998,"USA",88,"English","R",21210,1000000
1113,"Saving Private Ryan",1998,"USA",169,"English","R",216119491,70000000
1114,"Shakespeare in Love",1998,"USA",123,"English","R",100241322,25000000
1115,"Simon Birch",1998,"USA",114,"English","PG",18252684,30000000
1116,"Six Days Seven Nights",1998,"USA",98,"English","PG-13",74329966,70000000
1117,"Six-String Samurai",1998,"USA",91,"English","PG-13",124494,2000000
1118,"Slam",1998,"USA",100,"English","R",982214,1000000
1119,"Sliding Doors",1998,"UK",99,"English","R",11883495,9000000
1120,"Slums of Beverly Hills",1998,"USA",91,"English","R",5480318,5000000
1121,"Small Soldiers",1998,"USA",108,"English","PG-13",53955614,40000000
1122,"Smoke Signals",1998,"Canada",89,"English","PG-13",6719300,2000000
1123,"Snake Eyes",1998,"USA",98,"English","R",55585389,69000000
1124,"Soldier",1998,"UK",99,"English","R",14567883,75000000
1125,"Sphere",1998,"USA",134,"English","PG-13",36976367,75000000
1126,"Star Trek: Insurrection",1998,"USA",103,"English","PG",70117571,58000000
1127,"Stepmom",1998,"USA",124,"English","PG-13",91030827,50000000
1128,"Stiff Upper Lips",1998,"UK",94,"English","R",69582,
1129,"Tango",1998,"Spain",115,"Spanish","PG-13",1687311,700000000
1130,"Taxman",1998,"USA",104,"English","R",,1000000
1131,"The Big Hit",1998,"USA",91,"English","R",27052167,13000000
1132,"The Big Lebowski",1998,"USA",117,"English","R",17439163,15000000
1133,"The Big Swap",1998,"UK",114,"English",,,
1134,"The Celebration",1998,"Denmark",105,"Danish","R",1647780,1300000
1135,"The Faculty",1998,"USA",104,"English","R",40064955,15000000
1136,"The Horse Whisperer",1998,"USA",170,"English","PG-13",75370763,60000000
1137,"The Land Girls",1998,"UK",111,"English","R",146083,
1138,"The Love Letter",1998,"USA",99,"English","Unrated",,
1139,"The Love Letter",1998,"USA",99,"English","Unrated",,
1140,"The Magic Sword: Quest for Camelot",1998,"USA",86,"English","G",22717758,40000000
1141,"The Man in the Iron Mask",1998,"USA",132,"English","PG-13",56876365,35000000
1142,"The Mask of Zorro",1998,"USA",136,"English","PG-13",93771072,65000000
1143,"The Mighty",1998,"USA",100,"English","PG-13",2643689,
1144,"The Negotiator",1998,"Germany",140,"English","R",44484065,50000000
1145,"The Newton Boys",1998,"USA",123,"English","PG-13",10297897,27000000
1146,"The Object of My Affection",1998,"USA",111,"English","R",29106737,15000000
1147,"The Players Club",1998,"USA",104,"English","R",23031390,4500000
1148,"The Prince of Egypt",1998,"USA",99,"English","PG",101217900,70000000
1149,"The Red Violin",1998,"Canada",130,"French","R",9473382,10000000
1150,"The Replacement Killers",1998,"USA",96,"English","R",18967571,30000000
1151,"The Rugrats Movie",1998,"USA",83,"English","G",100491683,24000000
1152,"The Siege",1998,"USA",116,"English","R",40932372,70000000
1153,"The Thin Red Line",1998,"USA",215,"English","R",36385763,52000000
1154,"The Truman Show",1998,"USA",103,"English","PG",125603360,60000000
1155,"The Velocity of Gary",1998,"USA",100,"English","R",,4000000
1156,"The Waterboy",1998,"USA",90,"English","PG-13",161487252,20000000
1157,"The X Files",1998,"USA",121,"English","PG-13",83892374,66000000
1158,"There's Something About Mary",1998,"USA",107,"English","R",176483808,23000000
1159,"Urban Legend",1998,"USA",99,"English","R",38048637,14000000
1160,"Vampires",1998,"USA",104,"English","R",20241395,20000000
1161,"Velvet Goldmine",1998,"UK",124,"English","R",1043487,
1162,"Very Bad Things",1998,"USA",100,"English","R",9801782,10000000
1163,"Waking Ned Devine",1998,"UK",91,"English","PG",24788807,3000000
1164,"What Dreams May Come",1998,"USA",113,"English","PG-13",55350897,85000000
1165,"Wild Things",1998,"USA",115,"English","R",29753944,20000000
1166,"Without Limits",1998,"USA",117,"English","PG-13",777423,25000000
1167,"Woo",1998,"USA",84,"English","R",8026971,13000000
1168,"You've Got Mail",1998,"USA",119,"English","PG",115731542,65000000
1169,"Zero Effect",1998,"USA",116,"English","R",1980338,5000000
1170,"10 Things I Hate About You",1999,"USA",97,"English","PG-13",38176108,16000000
1171,"200 Cigarettes",1999,"USA",101,"English","R",6851636,6000000
1172,"8MM",1999,"Germany",123,"English","R",36283504,40000000
1173,"A Dog of Flanders",1999,"USA",100,"English","PG",2148212,7000000
1174,"A Room for Romeo Brass",1999,"UK",90,"English","R",18434,
1175,"A Walk on the Moon",1999,"USA",107,"English","R",4741987,14000000
1176,"Aimee & Jaguar",1999,"Germany",125,"German",,927107,15000000
1177,"American Beauty",1999,"USA",122,"English","R",130058047,15000000
1178,"American Pie",1999,"USA",95,"English","R",101736215,11000000
1179,"An Ideal Husband",1999,"UK",97,"English","PG-13",18535191,14000000
1180,"Analyze This",1999,"USA",103,"English","R",106694016,30000000
1181,"Angela's Ashes",1999,"USA",145,"English","R",13038660,25000000
1182,"Anna and the King",1999,"USA",148,"English","PG-13",39251128,75000000
1183,"Any Given Sunday",1999,"USA",156,"English","R",75530832,55000000
1184,"Anywhere But Here",1999,"USA",114,"English","PG-13",18653615,23000000
1185,"Arlington Road",1999,"USA",117,"English","R",24362501,21500000
1186,"At First Sight",1999,"USA",128,"English","PG-13",22326247,60000000
1187,"Austin Powers: The Spy Who Shagged Me",1999,"USA",95,"English","PG-13",205399422,33000000
1188,"Baby Geniuses",1999,"USA",97,"English","PG",27141959,18000000
1189,"Bats",1999,"USA",91,"English","PG-13",10149779,6500000
1190,"Being John Malkovich",1999,"USA",112,"English","R",22858926,13000000
1191,"Beyond the Mat",1999,"USA",108,"English","R",2047570,500000
1192,"Bicentennial Man",1999,"USA",132,"English","PG",58220776,100000000
1193,"Big Daddy",1999,"USA",93,"English","PG-13",163479795,34200000
1194,"Blast from the Past",1999,"USA",112,"English","PG-13",26494611,35000000
1195,"Blue Streak",1999,"USA",93,"English","PG-13",68208190,65000000
1196,"Bowfinger",1999,"USA",85,"English","PG-13",66365290,55000000
1197,"Boys Don't Cry",1999,"USA",118,"English","R",11533945,2000000
1198,"Breakfast of Champions",1999,"USA",110,"English","R",175370,12000000
1199,"Bringing Out the Dead",1999,"USA",121,"English","R",16640210,55000000
1200,"Brokedown Palace",1999,"USA",100,"English","PG-13",10114315,25000000
1201,"But I'm a Cheerleader",1999,"USA",85,"English","R",2199853,1200000
1202,"Chill Factor",1999,"USA",102,"English","R",11227940,34000000
1203,"Cradle Will Rock",1999,"USA",132,"English","R",2899970,32000000
1204,"Crazy in Alabama",1999,"USA",111,"English","PG-13",1954202,15000000
1205,"Cruel Intentions",1999,"USA",97,"English","R",38201895,10500000
1206,"Deep Blue Sea",1999,"USA",105,"English","R",73648142,60000000
1207,"Deterrence",1999,"France",104,"English","R",144583,800000
1208,"Detroit Rock City",1999,"USA",95,"English","R",4193025,15000000
1209,"Deuce Bigalow: Male Gigolo",1999,"USA",88,"English","R",65535067,17000000
1210,"Dick",1999,"France",94,"English","PG-13",6241697,13000000
1211,"Dogma",1999,"USA",130,"English","R",30651422,10000000
1212,"Double Jeopardy",1999,"USA",105,"English","R",116735231,70000000
1213,"Doug's 1st Movie",1999,"USA",77,"English","G",19421271,5000000
1214,"Dreaming of Joseph Lees",1999,"USA",92,"English","R",7680,2000000
1215,"Drive Me Crazy",1999,"USA",91,"English","PG-13",17843379,8000000
1216,"Drop Dead Gorgeous",1999,"Germany",97,"English","PG-13",10561238,10000000
1217,"Dudley Do-Right",1999,"USA",77,"English","PG",9694105,22000000
1218,"East Is East",1999,"UK",96,"English","R",4170647,1900000
1219,"Edtv",1999,"USA",122,"English","PG-13",22362500,55000000
1220,"Election",1999,"USA",103,"English","R",14879556,8000000
1221,"End of Days",1999,"USA",121,"English","R",66862068,83000000
1222,"Entrapment",1999,"USA",113,"English","PG-13",87704396,66000000
1223,"eXistenZ",1999,"Canada",115,"English","R",2840417,31000000
1224,"Eye of the Beholder",1999,"Canada",109,"English","R",16459004,15000000
1225,"Eyes Wide Shut",1999,"UK",159,"English","R",55637680,65000000
1226,"Fantasia 2000",1999,"USA",74,"English","G",60507228,80000000
1227,"Felicia's Journey",1999,"Canada",116,"English","PG-13",819852,
1228,"Fight Club",1999,"USA",151,"English","R",37023395,63000000
1229,"Flawless",1999,"USA",112,"English","R",4485485,15000000
1230,"Foolish",1999,"USA",84,"English","R",6026908,2000000
1231,"For Love of the Game",1999,"USA",137,"English","PG-13",35168395,50000000
1232,"Galaxy Quest",1999,"USA",102,"English","PG",71423726,45000000
1233,"Ghost Dog: The Way of the Samurai",1999,"France",116,"English","R",3300230,
1234,"Girl, Interrupted",1999,"USA",127,"English","R",28871190,24000000
1235,"Go",1999,"USA",102,"English","R",16842303,6500000
1236,"Godzilla 2000",1999,"Japan",99,"Japanese","PG",10037390,1000000000
1237,"Happy, Texas",1999,"USA",98,"English","PG-13",1943649,1700000
1238,"Held Up",1999,"USA",89,"English","PG-13",4692814,8000000
1239,"House on Haunted Hill",1999,"USA",93,"English","R",40846082,19000000
1240,"Human Traffic",1999,"UK",99,"English","R",104257,2200000
1241,"Idle Hands",1999,"USA",92,"English","R",4002955,20000000
1242,"In Dreams",1999,"USA",100,"English","R",11900000,30000000
1243,"In Too Deep",1999,"USA",95,"English","R",14003141,7000000
1244,"Inspector Gadget",1999,"USA",110,"English","PG",97360069,75000000
1245,"Instinct",1999,"USA",126,"English","R",34098563,55000000
1246,"Jakob the Liar",1999,"France",120,"English","PG-13",4956401,15000000
1247,"Jawbreaker",1999,"USA",87,"English","R",3071947,3500000
1248,"Jesus' Son",1999,"USA",107,"English","R",1282084,2500000
1249,"Just Looking",1999,"USA",97,"English","R",39852,3000000
1250,"Lake Placid",1999,"USA",82,"English","R",31768374,27000000
1251,"Light It Up",1999,"USA",99,"English","R",5871603,13000000
1252,"Limbo",1999,"USA",126,"English","R",1997807,8000000
1253,"Love Stinks",1999,"USA",94,"English","R",2800000,4000000
1254,"Magnolia",1999,"USA",188,"English","R",22450975,37000000
1255,"Man on the Moon",1999,"UK",118,"English","R",34580635,52000000
1256,"Message in a Bottle",1999,"USA",131,"English","PG-13",52799004,55000000
1257,"Mickey Blue Eyes",1999,"UK",102,"English","PG-13",33864342,40000000
1258,"Molly",1999,"USA",102,"English","PG-13",15593,21000000
1259,"Mumford",1999,"USA",112,"English","R",4554569,28000000
1260,"Muppets from Space",1999,"USA",87,"English","G",16290976,24000000
1261,"My Favorite Martian",1999,"USA",94,"English","PG",36830057,65000000
1262,"Mystery Men",1999,"USA",121,"English","PG-13",29655590,65000000
1263,"Mystery, Alaska",1999,"Canada",119,"English","R",8888143,28000000
1264,"Notting Hill",1999,"UK",124,"English","PG-13",116006080,42000000
1265,"Office Space",1999,"USA",89,"English","R",10824921,10000000
1266,"One Man's Hero",1999,"Spain",121,"English","R",229311,11350000
1267,"Outside Providence",1999,"USA",96,"English","R",7292175,7000000
1268,"Payback",1999,"USA",90,"English","R",81517441,50000000
1269,"Play It to the Bone",1999,"USA",124,"English","R",8427204,24000000
1270,"Pushing Tin",1999,"USA",124,"English","R",8406264,38000000
1271,"Random Hearts",1999,"USA",133,"English","R",31054924,64000000
1272,"Ravenous",1999,"Czech Republic",101,"English","R",2060953,12000000
1273,"Ride with the Devil",1999,"USA",148,"English","R",630779,35000000
1274,"Runaway Bride",1999,"USA",116,"English","PG",152149590,70000000
1275,"She's All That",1999,"USA",95,"English","PG-13",63319509,10000000
1276,"Simply Irresistible",1999,"Germany",96,"English","PG-13",4394936,6000000
1277,"Smiling Fish & Goat on Fire",1999,"USA",90,"English","R",277233,40000
1278,"Snow Falling on Cedars",1999,"USA",127,"English","PG-13",14378353,36000000
1279,"South Park: Bigger Longer & Uncut",1999,"USA",81,"English","R",52008288,21000000
1280,"Speedway Junky",1999,"USA",105,"English","R",,1000000
1281,"Star Wars: Episode I - The Phantom Menace",1999,"USA",136,"English","PG",474544677,115000000
1282,"Stigmata",1999,"USA",103,"English","R",50041732,29000000
1283,"Stir of Echoes",1999,"USA",99,"English","R",21133087,12000000
1284,"Stuart Little",1999,"Germany",84,"English","PG",140015224,133000000
1285,"Sugar Town",1999,"UK",92,"English","R",177840,250000
1286,"Summer of Sam",1999,"USA",142,"English","R",19283782,22000000
1287,"Superstar",1999,"USA",81,"English","PG-13",30628981,14000000
1288,"Tea with Mussolini",1999,"Italy",117,"English","PG",14348123,12000000
1289,"The 13th Warrior",1999,"USA",102,"English","R",32694788,85000000
1290,"The Adventures of Elmo in Grouchland",1999,"USA",73,"English","G",11634458,17000000
1291,"The Astronaut's Wife",1999,"USA",109,"English","R",10654581,34000000
1292,"The Astronaut's Wife",1999,"USA",109,"English","R",10654581,34000000
1293,"The Basket",1999,"USA",105,"English","PG",609042,1300000
1294,"The Best Man",1999,"USA",120,"English","R",34074895,9000000
1295,"The Big Tease",1999,"UK",86,"English","R",185577,4000000
1296,"The Blair Witch Project",1999,"USA",81,"English","R",140530114,60000
1297,"The Bone Collector",1999,"USA",118,"English","R",66488090,48000000
1298,"The Boondock Saints",1999,"Canada",102,"English","R",,7000000
1299,"The Corruptor",1999,"USA",110,"English","R",15156200,30000000
1300,"The Deep End of the Ocean",1999,"USA",106,"English","PG-13",13376506,40000000
1301,"The End of the Affair",1999,"UK",102,"English","R",10660147,23000000
1302,"The General's Daughter",1999,"USA",116,"English","R",102678089,95000000
1303,"The Green Mile",1999,"USA",189,"English","R",136801374,60000000
1304,"The Haunting",1999,"USA",113,"English","PG-13",91188905,80000000
1305,"The Hurricane",1999,"USA",146,"English","R",50668906,38000000
1306,"The Insider",1999,"USA",157,"English","R",28965197,68000000
1307,"The Iron Giant",1999,"USA",90,"English","PG",23159305,70000000
1308,"The Limey",1999,"USA",89,"English","R",3193102,9000000
1309,"The Loss of Sexual Innocence",1999,"USA",106,"English","R",399793,4000000
1310,"The Matrix",1999,"USA",136,"English","R",171383253,63000000
1311,"The Messenger: The Story of Joan of Arc",1999,"France",158,"English","R",14131298,390000000
1312,"The Muse",1999,"USA",97,"English","PG-13",11614236,15000000
1313,"The Ninth Gate",1999,"Spain",133,"English","R",18653746,38000000
1314,"The Omega Code",1999,"USA",100,"English","PG-13",12610552,7500000
1315,"The Out-of-Towners",1999,"USA",90,"English","PG-13",28535768,40000000
1316,"The Rage: Carrie 2",1999,"USA",104,"English","R",17757087,21000000
1317,"The Sixth Sense",1999,"USA",107,"English","PG-13",293501675,40000000
1318,"The Story of Us",1999,"USA",95,"English","R",27067160,50000000
1319,"The Straight Story",1999,"France",112,"English","G",6197866,10000000
1320,"The Talented Mr. Ripley",1999,"USA",139,"English","R",81292135,40000000
1321,"The Thirteenth Floor",1999,"Germany",100,"English","R",15500000,16000000
1322,"The Thomas Crown Affair",1999,"USA",113,"English","R",69304264,48000000
1323,"The Virgin Suicides",1999,"USA",90,"English","R",4859475,6000000
1324,"The Woman Chaser",1999,"USA",88,"English",,110720,1200000
1325,"The Wood",1999,"USA",106,"English","R",25047631,6000000
1326,"The World Is Not Enough",1999,"UK",128,"English","PG-13",126930660,135000000
1327,"Three Kings",1999,"USA",114,"English","R",60652036,48000000
1328,"Three to Tango",1999,"Australia",98,"English","PG-13",10544143,20000000
1329,"Topsy-Turvy",1999,"UK",154,"English","R",6201757,10000000
1330,"Toy Story 2",1999,"USA",82,"English","G",245823397,90000000
1331,"Trippin'",1999,"USA",94,"English","R",9016377,
1332,"Tumbleweeds",1999,"USA",102,"English","PG-13",1281176,312000
1333,"Twin Falls Idaho",1999,"USA",111,"English","R",985341,500000
1334,"Universal Soldier: The Return",1999,"USA",83,"English","R",10431220,24000000
1335,"Varsity Blues",1999,"USA",106,"English","R",52885587,16000000
1336,"Wild Wild West",1999,"USA",106,"English","PG-13",113745408,170000000
1337,"Wing Commander",1999,"USA",100,"English","PG-13",11576087,30000000
1338,"102 Dalmatians",2000,"USA",100,"English","G",66941559,85000000
1339,"28 Days",2000,"USA",103,"English","PG-13",37035515,43000000
1340,"3 Strikes",2000,"USA",82,"English","R",9821335,6000000
1341,"Aberdeen",2000,"UK",106,"English",,64148,6500000
1342,"All the Pretty Horses",2000,"USA",220,"English","PG-13",15527125,57000000
1343,"Almost Famous",2000,"USA",152,"English","R",32522352,60000000
1344,"American Psycho",2000,"USA",102,"English","R",15047419,7000000
1345,"Amores Perros",2000,"Mexico",115,"Spanish","R",5383834,2000000
1346,"An Everlasting Piece",2000,"USA",103,"English","R",75078,14000000
1347,"Anatomy",2000,"Germany",103,"German","R",5725,8400000
1348,"Autumn in New York",2000,"USA",103,"English","PG-13",37752931,40000000
1349,"Bamboozled",2000,"USA",135,"English","R",2185266,10000000
1350,"Battlefield Earth",2000,"USA",119,"English","PG-13",21471685,44000000
1351,"Bedazzled",2000,"USA",93,"English","PG-13",37879996,48000000
1352,"Best in Show",2000,"USA",90,"English","PG-13",18621249,6000000
1353,"Big Momma's House",2000,"USA",99,"English","PG-13",117559438,30000000
1354,"Billy Elliot",2000,"UK",110,"English","R",21994911,5000000
1355,"Bless the Child",2000,"USA",107,"English","R",29374178,40000000
1356,"Boiler Room",2000,"USA",120,"English","R",16938179,8000000
1357,"Book of Shadows: Blair Witch 2",2000,"USA",90,"English","R",26421314,15000000
1358,"Boys and Girls",2000,"USA",94,"English","PG-13",20627372,16000000
1359,"Bring It On",2000,"USA",98,"English","PG-13",68353550,10000000
1360,"Brother",2000,"USA",114,"English","R",447750,10000000
1361,"Cast Away",2000,"USA",143,"English","PG-13",233630478,90000000
